query_id,verse_id,query,positive,query_language,positive_language
BG_1_17_en_sa,BG_1_17,"And the excellent archer, the King of Kasi and Sikhandi the Maharathi,",काश्यश्च परमेष्वासः शिखण्डी च महारथः |धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः |,english,sanskrit
BG_1_18_sa_en,BG_1_18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् |,"and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately.",sanskrit,english
BG_1_18_en_sa,BG_1_18,"and the sons of Drupada and Draupadi, and the mighty-armed Subhadra's son Abhimanyu—all of them, O King, blew their respective conches separately.",द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् |,english,sanskrit
BG_1_20_sa_en,BG_1_20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |हृषीकेशं तदा वाक्यमिदमाह महीपते |,"Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanumantook up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Shree Krishna; Krishna, place my chariot between the two armies.",sanskrit,english
BG_1_20_en_sa,BG_1_20,"Then, seeing the arranged armies of the sons of Dhritarashtra, the one with the banner of Hanumantook up his bow, ready for battle. Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled, Arjuna, son of Pandu, took up his bow and then addressed the following words to Shree Krishna; Krishna, place my chariot between the two armies.",अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |हृषीकेशं तदा वाक्यमिदमाह महीपते |,english,sanskrit
BG_1_22_sa_en,BG_1_22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे |,"And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",sanskrit,english
BG_1_22_en_sa,BG_1_22,"And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight.",यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे |,english,sanskrit
BG_1_24_sa_en,BG_1_24,सञ्जय उवाच |एवमुक्तो हृषीकेशो गुडाकेशेन भारत |सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् |,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry.",sanskrit,english
BG_1_24_en_sa,BG_1_24,"Thus addressed, Hrishikesha, the son of Gudakesha, stationed the best chariot in the midst of the armies, sounding the war-cry.",सञ्जय उवाच |एवमुक्तो हृषीकेशो गुडाकेशेन भारत |सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् |,english,sanskrit
BG_1_25_sa_en,BG_1_25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति |,"At the head of all the kings, led by Bhishma and Drona, Arjuna, O son of Kunti, behold these Kurus gathered together",sanskrit,english
BG_1_25_en_sa,BG_1_25,"At the head of all the kings, led by Bhishma and Drona, Arjuna, O son of Kunti, behold these Kurus gathered together",भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति |,english,sanskrit
BG_1_26_sa_en,BG_1_26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा |,"Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.",sanskrit,english
BG_1_26_en_sa,BG_1_26,"Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.",तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा |,english,sanskrit
BG_1_27_sa_en,BG_1_27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् |,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness..",sanskrit,english
BG_1_27_en_sa,BG_1_27,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness..",श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् |,english,sanskrit
BG_1_28_sa_en,BG_1_28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् |अर्जुन उवाच |दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps.",sanskrit,english
BG_1_28_en_sa,BG_1_28,"Arjuna said—O Krishna! Seeing my own kinsmen eager to fight, my limbs are weakening, my mouth is drying up, and my body is trembling with shivers and goosebumps.",कृपया परयाविष्टो विषीदन्निदमब्रवीत् |अर्जुन उवाच |दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |,english,sanskrit
BG_1_29_sa_en,BG_1_29,सीदन्ति मम गात्राणि मुखं च परिशुष्यति |वेपथुश्च शरीरे मे रोमहर्षश्च जायते |,"My mouth is drying up, my body shivers, and my hair stands on end.",sanskrit,english
BG_1_29_en_sa,BG_1_29,"My mouth is drying up, my body shivers, and my hair stands on end.",सीदन्ति मम गात्राणि मुखं च परिशुष्यति |वेपथुश्च शरीरे मे रोमहर्षश्च जायते |,english,sanskrit
BG_1_30_sa_en,BG_1_30,गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः |,"The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer.",sanskrit,english
BG_1_30_en_sa,BG_1_30,"The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer.",गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः |,english,sanskrit
BG_1_31_sa_en,BG_1_31,निमित्तानि च पश्यामि विपरीतानि केशव |न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे |,"And, Keshava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle",sanskrit,english
BG_1_31_en_sa,BG_1_31,"And, Keshava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle",निमित्तानि च पश्यामि विपरीतानि केशव |न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे |,english,sanskrit
BG_1_32_sa_en,BG_1_32,न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा |,"Krishna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!",sanskrit,english
BG_1_32_en_sa,BG_1_32,"Krishna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!",न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा |,english,sanskrit
BG_1_33_sa_en,BG_1_33,येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च |,"Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself.",sanskrit,english
BG_1_33_en_sa,BG_1_33,"Those very persons for whose sake we covet the throne, luxuries and pleasures—are here arrayed on the battlefield, having renounced wealth and even life itself.",येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च |त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च |,english,sanskrit
BG_1_34_sa_en,BG_1_34,आचार्याः पितरः पुत्रास्तथैव च पितामहाः |मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा |,"Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle.",sanskrit,english
BG_1_34_en_sa,BG_1_34,"Teachers, fathers, sons, grandfathers, maternal uncles, fathers-in-law, grandsons, brothers-in-law and other relatives are also present here in battle.",आचार्याः पितरः पुत्रास्तथैव च पितामहाः |मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा |,english,sanskrit
BG_1_35_sa_en,BG_1_35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते |,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!",sanskrit,english
BG_1_35_en_sa,BG_1_35,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!",एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते |,english,sanskrit
BG_1_36_sa_en,BG_1_36,निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः |,"Krishna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us.",sanskrit,english
BG_1_36_en_sa,BG_1_36,"Krishna, how can we hope to be happy slaying the sons of Dhrtarastra; killing these desperadoes sin will surely take hold of us.",निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन |पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः |,english,sanskrit
BG_1_37_sa_en,BG_1_37,तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |स्वजनं हि कथं हत्वा सुखिनः स्याम माधव |,"Therefore, Krishna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen?",sanskrit,english
BG_1_37_en_sa,BG_1_37,"Therefore, Krishna, it does not behove us to kill our relations, the sons of Dhritarashtra. For how can we be happy after killing our own kinsmen?",तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |स्वजनं हि कथं हत्वा सुखिनः स्याम माधव |,english,sanskrit
BG_1_38_sa_en,BG_1_38,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् |,"Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",sanskrit,english
BG_1_38_en_sa,BG_1_38,"Even if these people, with minds blinded by greed; perceive no evil in destroying their own race",यद्यप्येते न पश्यन्ति लोभोपहतचेतसः |कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् |,english,sanskrit
BG_1_41_sa_en,BG_1_41,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः |,"With the preponderance of vice, Krishna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.",sanskrit,english
BG_1_41_en_sa,BG_1_41,"With the preponderance of vice, Krishna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.",अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः |स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः |,english,sanskrit
BG_1_42_sa_en,BG_1_42,सङ्करो नरकायैव कुलघ्नानां कुलस्य च |पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः |,Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and waterthe manes of their race also fall.,sanskrit,english
BG_1_42_en_sa,BG_1_42,Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and waterthe manes of their race also fall.,सङ्करो नरकायैव कुलघ्नानां कुलस्य च |पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः |,english,sanskrit
BG_1_44_sa_en,BG_1_44,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) |,"Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.",sanskrit,english
BG_1_44_en_sa,BG_1_44,"Krishna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time.",उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) |,english,sanskrit
BG_1_45_sa_en,BG_1_45,अहो बत महत्पापं कर्तुं व्यवसिता वयम् |यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः |,Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust,sanskrit,english
BG_1_45_en_sa,BG_1_45,Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust,अहो बत महत्पापं कर्तुं व्यवसिता वयम् |यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः |,english,sanskrit
BG_1_46_sa_en,BG_1_46,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् |,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting.",sanskrit,english
BG_1_46_en_sa,BG_1_46,"It would be better for me if the sons of Dhritarashtra, armed with weapons, killed me in battle while I was unarmed and unresisting.",यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः |धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् |,english,sanskrit
BG_1_47_sa_en,BG_1_47,सञ्जय उवाच |एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |विसृज्य सशरं चापं शोकसंविग्नमानसः |,"Thus addressed, Sanjaya, standing in the midst of the armies, sat down on the chariot’s seat, his mind overwhelmed with grief, and having set aside his bow and arrows.",sanskrit,english
BG_1_47_en_sa,BG_1_47,"Thus addressed, Sanjaya, standing in the midst of the armies, sat down on the chariot’s seat, his mind overwhelmed with grief, and having set aside his bow and arrows.",सञ्जय उवाच |एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत् |विसृज्य सशरं चापं शोकसंविग्नमानसः |,english,sanskrit
BG_2_1_sa_en,BG_2_1,सञ्जय उवाच |तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |विषीदन्तमिदं वाक्यमुवाच मधुसूदनः |,"Sanjaya said: Shree Krishna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.",sanskrit,english
BG_2_1_en_sa,BG_2_1,"Sanjaya said: Shree Krishna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.",सञ्जय उवाच |तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् |विषीदन्तमिदं वाक्यमुवाच मधुसूदनः |,english,sanskrit
BG_2_3_sa_en,BG_2_3,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप |,"Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies.",sanskrit,english
BG_2_3_en_sa,BG_2_3,"Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies.",क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते |क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप |,english,sanskrit
BG_2_5_sa_en,BG_2_5,गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके |हत्वार्थकामांस्तु गुरूनिहैवभुञ्जीय भोगान् रुधिरप्रदिग्धान् |,"Therefore, I consider it better not to kill these venerable teachers in this world, even if it means living on alms. For if I kill the teachers, I shall enjoy only the blood-stained wealth and pleasures of this world.",sanskrit,english
BG_2_5_en_sa,BG_2_5,"Therefore, I consider it better not to kill these venerable teachers in this world, even if it means living on alms. For if I kill the teachers, I shall enjoy only the blood-stained wealth and pleasures of this world.",गुरूनहत्वा हि महानुभावान्श्रेयो भोक्तुं भैक्ष्यमपीह लोके |हत्वार्थकामांस्तु गुरूनिहैवभुञ्जीय भोगान् रुधिरप्रदिग्धान् |,english,sanskrit
BG_2_6_sa_en,BG_2_6,न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः |यानेव हत्वा न जिजीविषामस्-तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः |,"Wo do not even know which is preferable for us—to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks.",sanskrit,english
BG_2_6_en_sa,BG_2_6,"Wo do not even know which is preferable for us—to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks.",न चैतद्विद्मः कतरन्नो गरीयोयद्वा जयेम यदि वा नो जयेयुः |यानेव हत्वा न जिजीविषामस्-तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः |,english,sanskrit
BG_2_7_sa_en,BG_2_7,कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः |यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् |,"With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into Your hands.",sanskrit,english
BG_2_7_en_sa,BG_2_7,"With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into Your hands.",कार्पण्यदोषोपहतस्वभावःपृच्छामि त्वां धर्मसम्मूढचेताः |यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मेशिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् |,english,sanskrit
BG_2_10_sa_en,BG_2_10,तमुवाच हृषीकेशः प्रहसन्निव भारत |सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः |,"Then, O Dhritarashtra, Shree Krishna, as if smiling, addressed the following words to sorrowing Arjuna, in the midst of the two armies.",sanskrit,english
BG_2_10_en_sa,BG_2_10,"Then, O Dhritarashtra, Shree Krishna, as if smiling, addressed the following words to sorrowing Arjuna, in the midst of the two armies.",तमुवाच हृषीकेशः प्रहसन्निव भारत |सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः |,english,sanskrit
